codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1431,86294,ALLARIA GESTIÓN IV FCI,nombre,2026-08-23
1432,86295,ALLARIA UNICRED DÓLARES FCI,nombre,2026-08-23
1434,86404,Galileo Multi-Strategy II,nombre,2026-08-23
1435,86306,ALLARIA SUSTENTABLE ASG FCI,nombre,2026-08-23
1436,86329,COCOS DÓLARES PLUS FCI,nombre,2026-08-23
1437,86330,COCOS AHORRO DÓLARES FCI,nombre,2026-08-23
1438,86331,COCOS AHORRO FCI,nombre,2026-08-23
1439,63686,CHACO FONDO COMÚN DE INVERSIÓN MONEY MARKET,nombre,2026-08-23
1440,86372,LOMBARD DINAMICO I,nombre,2026-08-23
1442,86371,LOMBARD AHORRO PLUS II,nombre,2026-08-23
1443,86367,BALANZ CAPITAL ESTRATEGIA III USD,nombre,2026-08-23
1444,86368,BALANZ CAPITAL ESTRATEGIA IV USD,nombre,2026-08-23
1445,86344,AXIS ESTRATEGIA 15,nombre,2026-08-23
1446,86345,AXIS ESTRATEGIA 16,nombre,2026-08-23
1447,86346,AXIS ESTRATEGIA 17,nombre,2026-08-23
1448,86347,AXIS ESTRATEGIA 18,nombre,2026-08-23
1449,86348,AXIS ESTRATEGIA 19,nombre,2026-08-23
1450,86349,AXIS ESTRATEGIA 20,nombre,2026-08-23
1451,86354,Fundcorp Performance Multiestrategia,nombre,2026-08-23
1452,86355,Fundcorp Performance Balanceado,nombre,2026-08-23
1453,86658,AXIS ESTRATEGIA 21,nombre,2026-08-23
1454,86696,AXIS ESTRATEGIA 22,nombre,2026-08-23
1455,86697,AXIS ESTRATEGIA 23,nombre,2026-08-23
1456,86698,AXIS ESTRATEGIA 24,nombre,2026-08-23
1457,86699,AXIS ESTRATEGIA 25,nombre,2026-08-23
1459,86701,BENEDIT MULTIESTRATEGIA,nombre,2026-08-23
1462,86378,TORONTO TRUST AHORRO DÓLAR F.C.I.,nombre,2026-08-23
1463,86379,TORONTO TRUST RENTA DÓLAR F.C.I.,nombre,2026-08-23
1464,86392,DRACMA MULTIESTRATEGIA,nombre,2026-08-23
1465,86393,DRACMA ESTRATEGIA DOLAR I,nombre,2026-08-23
1467,86406,AXIS PESOS,nombre,2026-08-23
1468,86407,AXIS S&C RENTA FIJA DOLAR,nombre,2026-08-23
1470,86409,AXIS ESTRATEGIA 13,nombre,2026-08-23
1471,86410,AXIS MULTIPLO BURSATIL RETORNO ABSOLUTO,nombre,2026-08-23
1472,86398,QUIRON RENTA MIXTA FONDO COMUN DE INVERSION,nombre,2026-08-23
1473,86446,CICLO NOVA ESTRUCTURADO,nombre,2026-08-23
1474,86447,CICLO NOVA ESTRUCTURADO  II,nombre,2026-08-23
1475,86448,CICLO NOVA ESTRUCTURADO III,nombre,2026-08-23
