raiz_emision,motivo
SXC4,"sin código en ARCA (nuestras especies: ['SXC4C', 'SXC4D', 'SXC4O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SXC5,sin código en ARCA (nuestras especies: ['SXC5O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
SXC6,"sin código en ARCA (nuestras especies: ['SXC6C', 'SXC6O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
T671,"sin código en ARCA (nuestras especies: ['T671C', 'T671D', 'T671O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
T672,"sin código en ARCA (nuestras especies: ['T672C', 'T672D', 'T672O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
T673,"sin código en ARCA (nuestras especies: ['T673C', 'T673D', 'T673O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TLCT,"sin código en ARCA (nuestras especies: ['TLCTC', 'TLCTD', 'TLCTO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TLCU,"sin código en ARCA (nuestras especies: ['TLCUC', 'TLCUD', 'TLCUO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TLCV,"sin código en ARCA (nuestras especies: ['TLCVC', 'TLCVD', 'TLCVO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TLCW,"sin código en ARCA (nuestras especies: ['TLCWC', 'TLCWD', 'TLCWO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TTCE,"sin código en ARCA (nuestras especies: ['TTCEC', 'TTCED', 'TTCEO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TY34,sin código en ARCA (nuestras especies: ['TY34O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
TY37,"sin código en ARCA (nuestras especies: ['TY37C', 'TY37D', 'TY37O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
TY38,"sin código en ARCA (nuestras especies: ['TY38C', 'TY38D', 'TY38O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
VBC3,sin código en ARCA (nuestras especies: ['VBC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
VSCX,"sin código en ARCA (nuestras especies: ['VSCXC', 'VSCXD', 'VSCXO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
VSCY,"sin código en ARCA (nuestras especies: ['VSCYC', 'VSCYD', 'VSCYO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
VSCZ,"sin código en ARCA (nuestras especies: ['VSCZC', 'VSCZD', 'VSCZO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
VWCD,sin código en ARCA (nuestras especies: ['VWCDO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
VWCG,sin código en ARCA (nuestras especies: ['VWCGO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
VWCH,sin código en ARCA (nuestras especies: ['VWCHO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
WBS3,"sin código en ARCA (nuestras especies: ['WBS3C', 'WBS3D', 'WBS3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
YFCF,sin código en ARCA (nuestras especies: ['YFCFO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
YM43,"sin código en ARCA (nuestras especies: ['YM43C', 'YM43D', 'YM43O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
YMCU,sin código en ARCA (nuestras especies: ['YMCUO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
YPC4,sin código en ARCA (nuestras especies: ['YPC4O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
YSS2L,sin código en ARCA (nuestras especies: ['YSS2L']) — esperable si la emisión empezó a cotizar después del 31/12/2025
ZPC5,"sin código en ARCA (nuestras especies: ['ZPC5C', 'ZPC5D', 'ZPC5O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
