ticker_papel,nombre_largo,mercado_origen,sic_titulo,estrategia_etf,pais,fuente,verificado
SMH,VAN ECK SEMICONDUCTOR ETF,NASDAQ,,sectorial,,,
SMSN,,,,,,,
SNA,Snap-On Inc,NYSE,"Cutlery, Handtools & General Hardware",,,,
SNAP,Snap Inc.,NYSE,"Services-Computer Programming, Data Processing, Etc.",,,,
SNDK,Sandisk Corporation,NASDAQ GS,Computer Storage Devices,,,,
SNOW,Snowflake Inc.,NYSE,Services-Prepackaged Software,,,,
SONY,Sony Group Corporation,NYSE,Household Audio & Video Equipment,,,,
SPCE,Virgin Galactic,NYSE,Transportation Services,,,,
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP.,NASDAQ GS,"Services-Computer Programming, Data Processing, Etc.",,,,
SPGI,S&P Global Inc,NYSE,"Services-Consumer Credit Reporting, Collection Agencies",,,,
SPHQ,Invesco S&P 500 quality ETF,NYSE ARCA,,factor,,,
SPOT,Spotify Technology S.A.,NYSE,Radio Broadcasting Stations,,,,
SPXL,DIREXION DAILY S&P 500 BULL 3X,NYSE Arca,,,,,
SPY,SPDR S&P 500,NYSE Arca,,,,,
STLA,Stellantis,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
STNE,StoneCo Ltd,NASDAQ,Services-Computer Processing & Data Preparation,,,,
SUZ,Suzano Papel E Celulose S.A.,NYSE,Paper Mills,,,,
SUZB3,Suzano S.A.,B3,,,,,
SWKS,Skyworks Solutions,NASDAQ,Semiconductors & Related Devices,,,,
SYY,Sysco Corp.,NYSE,Wholesale-Groceries & Related Products,,,,
T,At &T Inc.,NYSE,Telephone Communications (No Radiotelephone),,,,
TB,,,,,,,
TC,Token Cat Ltd,,"Services-Business Services, NEC",,,,
TCOM,TRIP.COM Group Ltd.,NASDAQ,"Services-Business Services, NEC",,,,
TD,TORONTO DOMINION BANK,,"Commercial Banks, NEC",,,,
TEAM,ATLASSIAN CORPORATION,NASDAQ GS,Services-Prepackaged Software,,,,
TEM,TEMPUS AI INC,NASDAQ GS,"Services-Computer Programming, Data Processing, Etc.",,,,
TEN,Tenaris,NYSE,Deep Sea Foreign Transportation of  Freight,,,,
TGT,Target Corporation,NYSE,Retail-Variety Stores,,,,
TIIAC,,,,,,,
TIIAD,,,,,,,
TIMB,Tim Participações S.A.,NYSE,Telephone Communications (No Radiotelephone),,,,
TIMS3,TIM S.A.,B3,,,,,
TJX,TJX Companies Inc/The,NYSE,Retail-Family Clothing Stores,,,,
TM,Toyota Motor Corporation,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
TMO,Thermo Fisher Scientific Inc.,NYSE,"Measuring & Controlling Devices, NEC",,,,
TMUS,T-mobile,NASDAQ,Radiotelephone Communications,,,,
TQQQ,ProShares UltraPro QQQ,NASDAQ,,,,,
TRIP,"Tripadvisor, Inc.",NASDAQ,"Services-Computer Programming, Data Processing, Etc.",,,,
TRVV,The Travelers Cos. Inc.,NYSE,,,,,
TSLA,"Tesla, Inc.",NASDAQ,Motor Vehicles & Passenger Car Bodies,,,,
TSM,Taiwan Semiconductor Manufacturing,NYSE,Semiconductors & Related Devices,,,,
